County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Portage County, WI",105.1435067,0,14,4,56,222,947,24,3,70380,3.96,4.0,1.6041666666666667,50,44.50336880646438,-89.55414863551634
"Porter County, IN",105.0691355,5,18,19,133,561,2380,182,13,166557,4.1,4.0,1.7708333333333333,50,41.472535801624446,-87.05343473280219
"Delta County, CO",104.9765443,0,4,5,24,98,446,28,10,30483,4.066666666666666,4.5,1.625,15,38.89694099693161,-107.9344682155018
"Effingham County, IL",104.9348529,0,8,2,26,89,504,22,5,34307,3.67,3.5,1.3157894736842106,50,39.126080006349675,-88.55646345851744
"Lynn County, TX",104.8401188,0,1,0,5,29,64,2,1,5723,4.0,4.0,1.5,6,33.17021025616755,-101.79847042319784
"McHenry County, IL",104.7464453,1,74,37,210,596,3236,55,33,307409,3.95,4.0,1.5681818181818181,50,42.292766009168254,-88.41471564363285
"Madison County, MO",104.5772665,0,1,1,11,30,180,12,1,12431,3.5833333333333335,3.75,1.2857142857142858,18,37.5590757404665,-90.29268031067971
"Wayne County, MO",104.4464339,0,1,0,13,51,75,9,1,13404,4.357142857142857,4.5,2,7,37.15012471948323,-90.48652310378348
"Ocean County, NJ",104.2141601,4,31,158,415,2659,8369,212,66,583414,3.91,4.0,1.7173913043478262,50,39.82987491649034,-74.20261104305331
"Bristol Bay Borough, AK",104.1666667,0,0,0,1,5,32,7,0,960,3.6,4.5,1.6666666666666667,5,58.70278148,-156.75875926
"Clackamas County, OR",104.0531804,9,97,133,165,1603,7037,749,41,388263,3.7,4.0,1,5,45.268782659661504,-122.3310934945536
"Saline County, NE",104.0510544,0,3,2,10,89,182,13,3,14416,4.03,4.0,1.5555555555555556,50,40.587688892077004,-96.84864506796634
"Albemarle County, VA",103.8834951,4,26,18,59,294,1429,61,14,103000,4.27,4.5,1.7346938775510203,50,38.03302929325184,-78.48681201742089
